"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,40,20,36,122
"GM",53,52622,712174,4639,2321
"Tolerant",283,730109,196995,5620,1727
"Vulnerable",5,1608,3109,14800,3536
"Unclassified",0,1953,2369,7759,71185
