"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",363,3083,333,1449
"Tolerant",3217,289690,149982,9749
"Vulnerable",152,134382,66608,14687
"Unclassified",1346,14272,25107,86004
