"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,7
"GM",1,79,29,139
"Tolerant",0,455,85,651
"Vulnerable",1,14,146,1443
"Unclassified",9,302,2231,29285
