"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",490,115,31,3157
"GM",48,9874,2356,3816
"Tolerant",1,701,180,554
"Vulnerable",0,0,0,4
"Unclassified",2183,1764,694,29999
