"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",89941,2017503,44976,71941
"GM",2,9,6,0
"Tolerant",1923159,704044,151733,84525
"Vulnerable",52730,124972,178936,196535
"Unclassified",81359,140332,186193,583049
