"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",251,3170,294,823
"Tolerant",2895,47580,18805,6371
"Vulnerable",188,13220,16404,13312
"Unclassified",450,5813,10175,46401
