"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,7,18,128
"GM",2,41,903,54,237
"Tolerant",62,289,17959,1938,3383
"Vulnerable",22,7,1010,11965,11177
"Unclassified",64,32,4660,12788,44120
