"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",722,2640,997,922,2469
"GM",785,19389,14145,1238,1138
"Tolerant",669,19979,4960,1026,1569
"Vulnerable",146,2005,686,35013,65122
"Unclassified",590,3417,1660,2659,69222
