"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",60120,9228,226331,209882
"GM",5493,5014,41987,9828
"Tolerant",70898,31414,256803,139554
"Vulnerable",18568,2269,24090,66943
"Unclassified",26142,5011,96878,128927
