"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",41495,21748,93404,75539
"GM",9548,26072,64090,12959
"Tolerant",72865,80326,158643,145455
"Vulnerable",0,2,13,42
"Unclassified",41127,22229,109630,460193
