"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",5882,1008,32684,11873
"GM",1454,1186,14273,3705
"Tolerant",47748,4040,142987,36255
"Vulnerable",71,30,212,388
"Unclassified",4865,1395,16713,26053
