"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",1714,319,52663,4615
"GM",694,284,16298,736
"Tolerant",44587,9108,146772,12754
"Vulnerable",0,0,3,5
"Unclassified",4425,814,21044,35987
