"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",2058,0,0,1144
"GM",1,36,49,127
"Tolerant",0,4,8,28
"Vulnerable",0,0,0,1
"Unclassified",1830,368,259,20014
