"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,6
"GM",0,1,2,62
"Tolerant",0,2,3,98
"Vulnerable",0,0,35,289
"Unclassified",13,34,2030,3926
