"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,11,52,46,337
"GM",79,3675,40055,6035,15616
"Tolerant",317,36258,105102,15135,58356
"Vulnerable",152,1371,15077,41128,54721
"Unclassified",249,2669,19244,12142,78809
