"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",795,127,2592,1491
"GM",44,617,51,18
"Tolerant",2800,490,6874,2038
"Vulnerable",2,0,0,20
"Unclassified",2621,71,5103,26829
