"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1144,138,2609,1,47
"GM",340,1098,782,3,9
"Tolerant",1934,957,8900,83,178
"Vulnerable",0,0,6,10,420
"Unclassified",62,2,135,479,33246
