"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,0,2,25
"GM",804,100,24,911
"Tolerant",307,811,10,1550
"Vulnerable",0,1,6,22
"Unclassified",1244,1325,308,95826
