"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,284,177,5406
"GM",7,44404,7796,9655
"Tolerant",0,11349,3598,2211
"Vulnerable",0,0,0,1
"Unclassified",14,4717,725,52540
