"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",5140,318,57592,5612
"GM",1269,570,25219,2621
"Tolerant",48140,14000,185557,15091
"Vulnerable",1,0,0,22
"Unclassified",7721,1185,25956,62027
