"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,3,4,3,484
"GM",9,73515,287279,409,34131
"Tolerant",6,247777,51267,180,28620
"Vulnerable",11,935,1137,873,20481
"Unclassified",9,1914,4120,82,20470
