"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",625,2947,382,9842
"GM",0,1,0,2
"Tolerant",179,11101,1787,11221
"Vulnerable",66,1047,9250,23535
"Unclassified",2559,10395,9455,119067
