"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3512,652,2777,11402
"Tolerant",717,2350,8489,4045
"Vulnerable",1668,6525,179405,29638
"Unclassified",4630,3752,44773,99328
