"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",58795,37108,21994,23537
"Tolerant",13140,329327,371770,8188
"Vulnerable",8571,374233,487160,15845
"Unclassified",8436,3276,12506,217824
