"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,4,35,14,78
"GM",0,0,27,19,16
"Tolerant",7,280,4122,250,517
"Vulnerable",1,19,183,52117,9845
"Unclassified",33,75,658,22935,72686
