"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"GM",9,5418,7340,1449,2770
"Tolerant",5,9335,11043,2222,2993
"Vulnerable",2,779,680,16551,11366
"Unclassified",10,8610,7694,114552,149240
