"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3501,9324,1090,2339
"Tolerant",9297,19409,7784,11557
"Vulnerable",1797,7862,60027,46346
"Unclassified",2281,6911,18689,301276
