"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1053,1203,2366,3782,3039
"GM",647,17099,56704,6976,3907
"Tolerant",3479,70002,132713,27091,18395
"Vulnerable",2938,10141,27976,140402,17975
"Unclassified",4824,7263,19832,101067,43712
