"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3651,1558,215,653
"Tolerant",1909,5339,2939,1696
"Vulnerable",1041,1892,48559,11834
"Unclassified",286,444,4729,225871
