"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",21,110,22,25
"GM",1,1,4,0
"Tolerant",254,2621,365,210
"Vulnerable",136,348,16544,3056
"Unclassified",806,1604,34282,46540
