"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",12887,173,169754,347,10384
"GM",149,1149,18302,81,352
"Tolerant",162914,34765,820162,9257,46485
"Vulnerable",302,88,6501,12357,1774
"Unclassified",21582,485,43609,865,85513
