"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",106,1342,1147,133,46
"GM",534,55888,250346,482,1806
"Tolerant",425,283818,33967,686,571
"Vulnerable",41,722,557,1603,1285
"Unclassified",53,3372,810,669,62856
