"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",613,0,63,1499
"GM",0,0,0,2
"Tolerant",21,0,148,1005
"Vulnerable",1,0,1,5
"Unclassified",1754,2,1131,2451
