"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3610,9354,5005,7470
"Tolerant",5784,24691,13244,9621
"Vulnerable",3250,17427,117444,30366
"Unclassified",9222,7409,29809,43327
