"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3881,24,138,3676
"Tolerant",256,439,1601,2677
"Vulnerable",262,1146,28721,12089
"Unclassified",10423,1448,11852,43256
