"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",41,4,40,692
"GM",0,0,0,20
"Tolerant",27,1377,103,905
"Vulnerable",71,17,3769,2057
"Unclassified",1537,113,12846,22036
