"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,121,921,79,61
"GM",94,57375,367304,1096,2421
"Tolerant",54,356416,71675,762,895
"Vulnerable",5,612,1468,980,2656
"Unclassified",0,1663,2390,600,89633
