"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1139,9046,1047,123
"Tolerant",11046,37644,23207,4878
"Vulnerable",1854,15615,214069,15335
"Unclassified",4686,3018,20017,152173
