"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1060,117990,18479,62
"Tolerant",146463,474805,410192,10770
"Vulnerable",7817,376011,368573,43505
"Unclassified",344,37376,193218,473122
