"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",40474,442,48964,8012,44722
"GM",1244,7,92,418,121
"Tolerant",34375,138,29679,8503,26335
"Vulnerable",13947,103,7370,219393,63153
"Unclassified",39631,419,32196,101323,543935
