"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,170,82,499
"GM",1,52663,117238,38199
"Tolerant",0,127721,8055,24305
"Vulnerable",0,1476,310,69517
"Unclassified",0,14171,4818,221563
