"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,9
"GM",6421,106255,3218,13559
"Tolerant",116846,409041,14464,78434
"Vulnerable",2088,18042,50955,71398
"Unclassified",6163,34747,14705,108714
