"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,2
"GM",4123,5583,22,3177
"Tolerant",2353,850,12,2297
"Vulnerable",3,6,0,35
"Unclassified",2974,3442,114,126755
