"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",4649,48763,11003,13345
"GM",13,288,114,10
"Tolerant",41135,81567,75372,17863
"Vulnerable",5614,48055,274368,55474
"Unclassified",8061,24126,66403,120870
