"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1042,133,1120,4631
"Tolerant",130,1726,2097,1184
"Vulnerable",737,7877,95056,24554
"Unclassified",5060,5030,78664,232287
