"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2,0,0,1
"GM",22545,373098,1658,22468
"Tolerant",359511,187761,3674,29130
"Vulnerable",1977,2565,15257,34603
"Unclassified",11193,15941,9829,88043
