"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",5928,82653,16703,3249
"Tolerant",102085,299654,55734,12343
"Vulnerable",3136,80627,205057,50853
"Unclassified",1904,9433,37980,266090
