"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4338,0,6470,123,587
"GM",286,0,1845,27,443
"Tolerant",4576,47,18103,115,2074
"Vulnerable",1051,3,1014,287,494
"Unclassified",4507,2,7673,223,198390
