"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",21068,87079,15555,22786
"Tolerant",95221,67795,37769,16732
"Vulnerable",7755,23626,182721,21823
"Unclassified",19995,25575,66542,170807
