"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1108,108,4371,209,260
"GM",312,5202,322213,5031,725
"Tolerant",3695,275869,584061,13050,5171
"Vulnerable",116,1646,17413,121229,21808
"Unclassified",963,2193,22097,6917,126690
