"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,1,0,5
"GM",4356,5372,836,1585
"Tolerant",4128,905,292,575
"Vulnerable",97,101,2767,5684
"Unclassified",582,386,8148,18076
