"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",14,22,50,352
"GM",134,568,102,68
"Tolerant",156,255,191,480
"Vulnerable",327,608,31347,10768
"Unclassified",99,125,2733,70647
