"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",106,15,1947,5067
"GM",6,25,1014,676
"Tolerant",73,952,45933,6545
"Vulnerable",0,0,10,40
"Unclassified",640,272,9870,37805
