"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",592,111,1221,2886,659
"GM",301,1768,8848,2282,317
"Tolerant",1414,12881,34475,9655,2770
"Vulnerable",2226,1166,12707,63332,6788
"Unclassified",881,1053,4658,7054,18923
