"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,6,0,2370
"GM",6,78,29,3603
"Tolerant",3,24,8,2103
"Vulnerable",1,0,0,190
"Unclassified",395,1043,156,6858
