"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2733,15819,7100,3958,7808
"GM",9987,322602,717657,59768,56336
"Tolerant",9173,764138,135781,211222,69202
"Vulnerable",7904,88522,173371,183941,48321
"Unclassified",16223,93694,29319,138358,340338
