"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",31766,11729,47449,17681
"Tolerant",3907,15884,51246,202
"Vulnerable",6528,38482,157414,1917
"Unclassified",10848,928,17054,169181
