"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,3,3,14
"GM",0,0,0,1
"Tolerant",7,74,71,173
"Vulnerable",1,76,2166,446
"Unclassified",4,100,164,14882
