"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,2,3,23
"GM",3,10778,9151,1772
"Tolerant",0,6539,2071,3445
"Vulnerable",0,0,0,3
"Unclassified",98,2427,1352,54012
