"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",4031,2393,3439,2185
"GM",1,0,0,0
"Tolerant",6360,6170,2503,959
"Vulnerable",2424,1692,116110,9722
"Unclassified",1572,725,9864,80303
