"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,29,12,54,354
"GM",69,33542,13389,3176,6234
"Tolerant",21,10318,898,586,2324
"Vulnerable",237,2942,645,23016,45917
"Unclassified",539,4367,993,13681,47845
