"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",4659,13541,2613,833
"Tolerant",7789,153047,32839,2881
"Vulnerable",2776,33051,124238,7083
"Unclassified",249,2682,7235,126476
