"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,1
"GM",13128,417814,328,15245
"Tolerant",375505,240711,1936,24008
"Vulnerable",635,2082,3707,2944
"Unclassified",14204,32559,8384,36070
