"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",8026,1200,237254,631,12876
"GM",5962,2567,32928,110,3569
"Tolerant",219449,34656,464236,2485,64045
"Vulnerable",468,359,5614,5256,1491
"Unclassified",25046,2813,70392,1891,67670
